Timestep,Reward
0,-0.04850646539755399
1,0.02306823216950815
2,0.35516351294370296
3,0.7293435696822997
4,1.0297408531717855
5,1.2351661739443167
6,1.3583557683729885
7,1.4272534851241387
8,1.4638204416173188
9,1.4824675993794625
10,1.339851712092924
11,1.4446439549226813
12,1.4823722272124886
13,1.4969838222776237
14,1.4986870359862081
15,1.4992488601601548
16,1.4994459371019841
17,1.4995059241745865
18,1.4995439936437838
19,1.4995723790284154
20,1.1810071132170563
21,1.4107149084203952
22,1.480362131019179
23,1.4945718448703809
24,1.4982932907848947
25,1.4992266114452628
26,1.4995120761847396
27,1.499615882082703
28,1.4996887703350332
29,1.4997456157340694
30,1.109979258006383
31,1.3947864874550648
32,1.4790146456757693
33,1.4946762481937463
34,1.4983857274710164
35,1.4992845387312626
36,1.49954324090403
37,1.4996324519260604
38,1.499697989444198
39,1.4997839873431877
40,1.3405069456725194
41,1.3220041499457027
42,1.4459308187471087
43,1.4862311199382932
44,1.4969298438190959
45,1.4988061596433997
46,1.4991581799749973
47,1.4993410861323813
48,1.4994357266115015
49,1.4994835264329336
50,1.4995099973357005
51,1.4118329871518955
52,1.4906968260616171
53,1.4985893826435963
54,1.4996161675177107
55,1.4998509088196206
56,1.4999247297760356
57,1.4999559813254006
58,1.4999718646476397
59,1.4999805824619439
60,1.4999857308640843
61,1.4999886928806516
62,1.4999903443801574
63,1.4999916756547957
64,1.499992797920276
65,1.4999937517025643
66,1.4999945673338688
67,1.499995267359715
68,1.499995869994117
69,1.499996390130389
70,1.499996839978033
71,1.4999972298857251
72,1.4999975684834126
73,1.4999978629930957
74,1.4999981195932506
75,1.4999983434891364
76,1.499998539116643
77,1.4999987102683516
78,1.4999988601944947
79,1.4999989916863123
80,1.499999107145382
81,1.4999992086415848
82,1.4999992979617816
83,1.4999993766508375
